Solution [travelDistance=52348, homeVisitViolations=0, consecutiveHomeVisitViolations=20, consecutiveTeamSeenViolations=19]
-1--2--3--4--5-
 [1, 8]  [4, 3]  [6, 7]  [9, 2]  [5, 10] 
 [5, 8]  [7, 2]  [1, 10]  [6, 3]  [4, 9] 
 [6, 8]  [4, 2]  [3, 9]  [7, 10]  [1, 5] 
 [7, 5]  [2, 9]  [10, 6]  [8, 1]  [3, 4] 
 [8, 6]  [3, 7]  [10, 1]  [2, 4]  [9, 5] 
 [9, 1]  [2, 7]  [5, 3]  [10, 8]  [6, 4] 
 [4, 7]  [5, 2]  [6, 10]  [1, 3]  [8, 9] 
 [5, 6]  [8, 4]  [1, 2]  [7, 3]  [10, 9] 
 [10, 4]  [7, 9]  [8, 5]  [1, 6]  [3, 2] 
 [3, 8]  [10, 5]  [9, 6]  [2, 1]  [7, 4] 
 [4, 1]  [9, 7]  [6, 5]  [3, 10]  [2, 8] 
 [2, 10]  [4, 8]  [5, 7]  [9, 3]  [6, 1] 
 [1, 7]  [6, 2]  [8, 3]  [4, 10]  [5, 9] 
 [10, 3]  [1, 9]  [7, 6]  [5, 4]  [8, 2] 
 [6, 9]  [7, 8]  [10, 2]  [3, 5]  [1, 4] 
 [3, 6]  [9, 4]  [2, 5]  [8, 10]  [7, 1] 
 [4, 5]  [3, 1]  [8, 7]  [9, 10]  [2, 6] 
 [2, 3]  [9, 8]  [4, 6]  [5, 1]  [10, 7] 
----------
