Totale travel distance: 588658
Games umpired door umpire1
	18,9	21,7	15,3	25,8	16,7	17,9	23,13	22,18	19,2	14,10	24,8	26,9	12,4	24,10	11,5	18,7	25,14	20,17	8,1	21,9	22,13	23,15	3,2	7,5	16,15	26,23	10,6	9,13	15,19	4,7	14,16	1,8	2,6	5,12	13,16	19,26	17,24	3,13	11,22	7,24	9,23	6,21	12,8	18,22	1,21	2,16	4,19	10,11	5,18	8,22	

Games umpired door umpire2
	14,13	19,9	26,2	17,3	20,13	24,19	15,16	8,7	21,17	23,11	22,20	16,2	25,9	14,3	18,4	9,6	13,5	26,22	24,21	19,11	4,8	20,16	6,7	23,22	8,10	16,20	21,23	7,10	3,6	13,11	2,8	14,25	10,13	4,26	18,21	17,25	12,23	1,14	16,24	6,8	5,10	3,16	11,23	9,19	7,13	10,23	8,21	4,16	2,22	12,25	

Games umpired door umpire3
	17,10	20,8	18,11	21,10	19,4	26,11	24,12	23,17	22,15	25,12	13,10	22,23	14,1	15,2	16,6	17,4	9,2	8,3	26,17	24,18	23,20	10,7	25,21	19,16	7,4	14,18	1,3	15,17	16,26	21,18	22,24	20,23	5,8	2,9	3,10	4,20	11,19	7,18	9,20	1,16	6,22	10,20	16,21	14,23	8,19	5,24	2,17	12,20	4,14	13,19	

Games umpired door umpire4
	15,12	18,10	20,9	16,4	23,2	8,5	26,4	24,14	13,9	19,3	25,6	12,7	22,17	21,11	25,15	10,5	17,7	6,11	23,16	8,2	18,12	26,25	24,23	13,6	2,1	3,4	11,13	5,6	22,25	20,24	4,9	6,12	17,23	14,21	8,24	1,12	9,25	2,24	1,15	3,23	7,11	2,25	3,18	4,15	5,26	12,21	10,16	6,23	11,17	9,21	

Games umpired door umpire5
	26,1	14,2	25,5	18,13	21,12	20,15	22,3	12,10	16,8	24,13	19,5	8,4	13,18	26,12	23,7	25,20	11,4	21,14	20,12	17,16	5,2	18,19	15,10	14,8	24,22	1,2	9,12	16,19	7,14	3,8	6,10	21,26	12,19	8,23	20,26	11,16	10,14	5,21	2,26	4,17	16,25	1,18	15,24	3,26	9,16	6,19	7,15	13,26	8,20	10,17	

Games umpired door umpire6
	25,2	24,4	23,6	20,11	15,8	12,14	17,5	21,3	18,1	22,4	26,15	19,21	16,3	25,7	24,9	23,8	10,1	13,7	9,3	20,10	14,11	21,13	22,16	11,12	6,9	17,13	25,22	18,26	1,5	12,15	23,26	7,9	20,21	15,11	2,12	13,22	3,21	19,20	8,25	5,15	4,21	17,26	1,19	10,24	6,20	7,26	9,22	2,21	13,23	3,20	

Games umpired door umpire7
	22,5	15,13	24,1	19,12	18,5	7,6	21,2	13,15	25,4	20,6	23,14	11,3	26,20	22,8	12,1	26,19	24,20	10,2	6,5	15,14	21,19	5,1	13,12	18,20	25,26	9,10	8,16	23,24	2,4	19,22	17,21	4,13	22,26	16,18	5,17	3,9	1,13	6,15	12,18	9,26	14,24	7,23	10,26	2,13	4,23	8,14	11,25	5,22	3,15	1,26	

Games umpired door umpire8
	24,3	25,1	14,4	26,7	22,1	18,16	19,6	9,4	11,10	21,5	17,2	15,1	23,10	20,4	13,2	24,15	26,16	25,19	18,15	22,12	7,3	6,2	9,5	17,15	19,13	12,6	4,5	20,22	10,12	5,9	1,7	16,22	15,25	3,19	6,4	7,8	2,18	11,26	19,23	13,21	8,18	4,12	5,14	1,20	10,25	9,15	12,26	3,25	7,19	6,14	

Games umpired door umpire9
	23,4	22,6	16,13	24,2	17,6	21,1	10,8	20,2	26,6	15,7	12,9	25,10	11,2	23,9	22,19	13,3	18,8	24,16	19,14	7,1	16,10	14,12	26,18	4,2	20,14	5,7	17,19	11,14	21,24	1,6	12,13	3,11	18,24	7,20	15,23	2,14	8,26	16,23	6,17	10,19	13,20	9,14	4,22	5,25	14,17	11,20	3,24	7,17	1,25	2,23	

Games umpired door umpire10
	20,7	17,11	21,8	22,9	26,10	23,3	25,18	19,1	14,5	16,9	11,7	13,17	24,5	18,6	17,8	21,16	12,3	15,4	22,10	26,13	25,17	4,3	20,19	10,9	23,21	24,25	14,15	8,12	17,20	2,10	3,5	19,24	16,14	1,10	9,7	5,23	4,6	10,22	7,21	14,20	15,26	11,24	2,20	6,16	3,22	13,25	1,23	9,18	12,16	4,24	

Games umpired door umpire11
	19,8	16,12	22,7	15,5	24,11	25,13	14,7	11,6	23,12	26,8	18,3	20,5	21,15	19,17	10,3	12,2	22,21	9,1	7,2	25,23	6,1	24,17	8,11	26,21	5,3	11,8	2,7	1,4	18,23	14,26	20,25	17,18	4,11	13,24	19,25	15,21	7,22	9,8	3,14	2,11	1,17	5,19	6,13	8,17	12,24	4,18	5,20	14,19	10,21	7,16	

Games umpired door umpire12
	21,6	23,5	17,12	14,6	25,3	10,4	11,9	26,5	20,3	18,2	16,1	24,6	19,7	13,1	21,20	22,14	15,6	23,18	25,11	5,4	26,24	8,9	17,14	3,1	12,11	19,15	20,18	21,25	13,8	16,17	11,15	2,5	1,9	6,25	14,22	10,18	5,16	12,17	4,10	18,25	3,12	15,22	7,25	11,21	2,15	1,22	6,18	8,15	9,24	5,11	

Games umpired door umpire13
	16,11	26,3	19,10	23,1	14,9	22,2	20,1	25,16	24,7	17,1	21,4	18,14	8,6	16,5	26,14	11,1	23,19	12,5	13,4	6,3	15,9	22,11	4,1	25,24	18,17	21,22	24,26	2,3	9,11	23,25	19,18	10,15	3,7	17,22	1,11	6,24	15,20	4,25	5,13	12,22	2,19	8,13	9,17	7,12	11,18	3,17	13,14	1,24	6,26	15,18	

Solution Status from LocalSolver: Infeasible

Solution [travelDistance=588658, homeVisitViolations=0, consecutiveHomeVisitViolations=70, consecutiveTeamSeenViolations=0]
-1--2--3--4--5--6--7--8--9--10--11--12--13-
 [18, 9]  [14, 13]  [17, 10]  [15, 12]  [26, 1]  [25, 2]  [22, 5]  [24, 3]  [23, 4]  [20, 7]  [19, 8]  [21, 6]  [16, 11] 
 [21, 7]  [19, 9]  [20, 8]  [18, 10]  [14, 2]  [24, 4]  [15, 13]  [25, 1]  [22, 6]  [17, 11]  [16, 12]  [23, 5]  [26, 3] 
 [15, 3]  [26, 2]  [18, 11]  [20, 9]  [25, 5]  [23, 6]  [24, 1]  [14, 4]  [16, 13]  [21, 8]  [22, 7]  [17, 12]  [19, 10] 
 [25, 8]  [17, 3]  [21, 10]  [16, 4]  [18, 13]  [20, 11]  [19, 12]  [26, 7]  [24, 2]  [22, 9]  [15, 5]  [14, 6]  [23, 1] 
 [16, 7]  [20, 13]  [19, 4]  [23, 2]  [21, 12]  [15, 8]  [18, 5]  [22, 1]  [17, 6]  [26, 10]  [24, 11]  [25, 3]  [14, 9] 
 [17, 9]  [24, 19]  [26, 11]  [8, 5]  [20, 15]  [12, 14]  [7, 6]  [18, 16]  [21, 1]  [23, 3]  [25, 13]  [10, 4]  [22, 2] 
 [23, 13]  [15, 16]  [24, 12]  [26, 4]  [22, 3]  [17, 5]  [21, 2]  [19, 6]  [10, 8]  [25, 18]  [14, 7]  [11, 9]  [20, 1] 
 [22, 18]  [8, 7]  [23, 17]  [24, 14]  [12, 10]  [21, 3]  [13, 15]  [9, 4]  [20, 2]  [19, 1]  [11, 6]  [26, 5]  [25, 16] 
 [19, 2]  [21, 17]  [22, 15]  [13, 9]  [16, 8]  [18, 1]  [25, 4]  [11, 10]  [26, 6]  [14, 5]  [23, 12]  [20, 3]  [24, 7] 
 [14, 10]  [23, 11]  [25, 12]  [19, 3]  [24, 13]  [22, 4]  [20, 6]  [21, 5]  [15, 7]  [16, 9]  [26, 8]  [18, 2]  [17, 1] 
 [24, 8]  [22, 20]  [13, 10]  [25, 6]  [19, 5]  [26, 15]  [23, 14]  [17, 2]  [12, 9]  [11, 7]  [18, 3]  [16, 1]  [21, 4] 
 [26, 9]  [16, 2]  [22, 23]  [12, 7]  [8, 4]  [19, 21]  [11, 3]  [15, 1]  [25, 10]  [13, 17]  [20, 5]  [24, 6]  [18, 14] 
 [12, 4]  [25, 9]  [14, 1]  [22, 17]  [13, 18]  [16, 3]  [26, 20]  [23, 10]  [11, 2]  [24, 5]  [21, 15]  [19, 7]  [8, 6] 
 [24, 10]  [14, 3]  [15, 2]  [21, 11]  [26, 12]  [25, 7]  [22, 8]  [20, 4]  [23, 9]  [18, 6]  [19, 17]  [13, 1]  [16, 5] 
 [11, 5]  [18, 4]  [16, 6]  [25, 15]  [23, 7]  [24, 9]  [12, 1]  [13, 2]  [22, 19]  [17, 8]  [10, 3]  [21, 20]  [26, 14] 
 [18, 7]  [9, 6]  [17, 4]  [10, 5]  [25, 20]  [23, 8]  [26, 19]  [24, 15]  [13, 3]  [21, 16]  [12, 2]  [22, 14]  [11, 1] 
 [25, 14]  [13, 5]  [9, 2]  [17, 7]  [11, 4]  [10, 1]  [24, 20]  [26, 16]  [18, 8]  [12, 3]  [22, 21]  [15, 6]  [23, 19] 
 [20, 17]  [26, 22]  [8, 3]  [6, 11]  [21, 14]  [13, 7]  [10, 2]  [25, 19]  [24, 16]  [15, 4]  [9, 1]  [23, 18]  [12, 5] 
 [8, 1]  [24, 21]  [26, 17]  [23, 16]  [20, 12]  [9, 3]  [6, 5]  [18, 15]  [19, 14]  [22, 10]  [7, 2]  [25, 11]  [13, 4] 
 [21, 9]  [19, 11]  [24, 18]  [8, 2]  [17, 16]  [20, 10]  [15, 14]  [22, 12]  [7, 1]  [26, 13]  [25, 23]  [5, 4]  [6, 3] 
 [22, 13]  [4, 8]  [23, 20]  [18, 12]  [5, 2]  [14, 11]  [21, 19]  [7, 3]  [16, 10]  [25, 17]  [6, 1]  [26, 24]  [15, 9] 
 [23, 15]  [20, 16]  [10, 7]  [26, 25]  [18, 19]  [21, 13]  [5, 1]  [6, 2]  [14, 12]  [4, 3]  [24, 17]  [8, 9]  [22, 11] 
 [3, 2]  [6, 7]  [25, 21]  [24, 23]  [15, 10]  [22, 16]  [13, 12]  [9, 5]  [26, 18]  [20, 19]  [8, 11]  [17, 14]  [4, 1] 
 [7, 5]  [23, 22]  [19, 16]  [13, 6]  [14, 8]  [11, 12]  [18, 20]  [17, 15]  [4, 2]  [10, 9]  [26, 21]  [3, 1]  [25, 24] 
 [16, 15]  [8, 10]  [7, 4]  [2, 1]  [24, 22]  [6, 9]  [25, 26]  [19, 13]  [20, 14]  [23, 21]  [5, 3]  [12, 11]  [18, 17] 
 [26, 23]  [16, 20]  [14, 18]  [3, 4]  [1, 2]  [17, 13]  [9, 10]  [12, 6]  [5, 7]  [24, 25]  [11, 8]  [19, 15]  [21, 22] 
 [10, 6]  [21, 23]  [1, 3]  [11, 13]  [9, 12]  [25, 22]  [8, 16]  [4, 5]  [17, 19]  [14, 15]  [2, 7]  [20, 18]  [24, 26] 
 [9, 13]  [7, 10]  [15, 17]  [5, 6]  [16, 19]  [18, 26]  [23, 24]  [20, 22]  [11, 14]  [8, 12]  [1, 4]  [21, 25]  [2, 3] 
 [15, 19]  [3, 6]  [16, 26]  [22, 25]  [7, 14]  [1, 5]  [2, 4]  [10, 12]  [21, 24]  [17, 20]  [18, 23]  [13, 8]  [9, 11] 
 [4, 7]  [13, 11]  [21, 18]  [20, 24]  [3, 8]  [12, 15]  [19, 22]  [5, 9]  [1, 6]  [2, 10]  [14, 26]  [16, 17]  [23, 25] 
 [14, 16]  [2, 8]  [22, 24]  [4, 9]  [6, 10]  [23, 26]  [17, 21]  [1, 7]  [12, 13]  [3, 5]  [20, 25]  [11, 15]  [19, 18] 
 [1, 8]  [14, 25]  [20, 23]  [6, 12]  [21, 26]  [7, 9]  [4, 13]  [16, 22]  [3, 11]  [19, 24]  [17, 18]  [2, 5]  [10, 15] 
 [2, 6]  [10, 13]  [5, 8]  [17, 23]  [12, 19]  [20, 21]  [22, 26]  [15, 25]  [18, 24]  [16, 14]  [4, 11]  [1, 9]  [3, 7] 
